label,n_trades,total_pnl,avg_pnl_per_trade,win_rate,sharpe,max_drawdown,trading_days,edge_threshold,strategy
A_hold_et0.05,11404,507683.0365815148,44.51797935649902,0.7125569975447211,45.12929523779394,-249.1949829259538,365,0.05,A_hold
B_convergence_et0.05,11404,102853.409712222,9.019064338146439,0.706068046299544,17.44027337619728,-704.6678339107166,365,0.05,B_convergence
A_hold_et0.08,9673,496070.6891859818,51.28405760218979,0.7120851855680761,45.26911687305956,-228.97645489062415,365,0.08,A_hold
B_convergence_et0.08,9673,109742.12323176846,11.345200375454198,0.7091905303421896,18.640668519128344,-563.6687350680149,365,0.08,B_convergence
A_hold_et0.1,8785,484509.4779131761,55.151904144926135,0.7107569721115538,45.0921538328479,-215.10604011424584,365,0.1,A_hold
B_convergence_et0.1,8785,112715.97981364964,12.830504247427392,0.7097324985771201,19.426559202892456,-480.36650691516115,365,0.1,B_convergence
A_hold_et0.12,8086,471626.7633682175,58.326337295104814,0.711971308434331,44.8493045348587,-197.47493788931752,365,0.12,A_hold
B_convergence_et0.12,8086,115476.25123415174,14.281010540953716,0.711971308434331,20.083373744888473,-480.36650691516115,365,0.12,B_convergence
A_hold_et0.15,7131,457344.8859467978,64.13474771375652,0.7165895386341327,44.409698536753,-129.12520612264052,365,0.15,A_hold
B_convergence_et0.15,7131,121092.02880276184,16.981072612924113,0.7165895386341327,21.732385351244247,-456.1345110525144,365,0.15,B_convergence
A_hold_et0.2,5855,426925.7097621177,72.91643206867937,0.7260461144321093,43.03173437502797,-105.73776844947133,365,0.2,A_hold
B_convergence_et0.2,5855,123773.88196699595,21.139860284713226,0.7260461144321093,23.3404606857031,-405.34626119580935,365,0.2,B_convergence
A_hold_et0.25,4863,389892.3119964063,80.17526465071073,0.7334978408389883,41.32640909687651,-153.51958483509952,365,0.25,A_hold
B_convergence_et0.25,4863,122768.70985307274,25.24546778800591,0.7334978408389883,24.50895398386455,-322.56848426257784,365,0.25,B_convergence
A_hold_et0.3,4035,351671.3615441163,87.15523210510936,0.7405204460966542,39.88675321536871,-13.217524964245968,365,0.3,A_hold
B_convergence_et0.3,4035,117753.04972457609,29.182911951567807,0.7405204460966542,25.33010996400473,-320.9773012118967,365,0.3,B_convergence
