date,series_ticker,event_ticker,market_ticker,strike_type,threshold,floor_strike,cap_strike,last_price,yes_bid,yes_ask,no_bid,no_ask,volume,open_interest,result,settlement_value,expiration_value,status,ticker,mu,sigma,model_prob,market_prob,edge,settlement,direction,entry_price,entry_edge,exit_type,exit_price,fee_per_contract,pnl_per_contract_gross,pnl_per_contract,fee_dollars,pnl_dollars
2026-02-11,KXHIGHAUS,KXHIGHAUS-26FEB11,KXHIGHAUS-26FEB11-B76.5,between,76.5,76.0,77.0,0.99,0.99,1.0,0.0,0.01,40366.0,0.0,yes,1.0,76.0,finalized,KXHIGHAUS,75.61485718091329,1.3353149,0.2367149693835735,0.99,-0.7532850306164265,1.0,NO,1.0000000000000009,0.7532850306164265,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-02-11,KXHIGHAUS,KXHIGHAUS-26FEB11,KXHIGHAUS-26FEB11-B74.5,between,74.5,74.0,75.0,0.01,0.0,0.01,0.99,1.0,85885.0,0.0,no,0.0,76.0,finalized,KXHIGHAUS,75.61485718091329,1.3353149,0.20932850303916406,0.01,0.19932850303916405,0.0,YES,1.0,0.19932850303916405,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-02-12,KXHIGHAUS,KXHIGHAUS-26FEB12,KXHIGHAUS-26FEB12-B80.5,between,80.5,80.0,81.0,0.99,0.0,1.0,0.0,1.0,49790.0,0.0,yes,1.0,81.0,finalized,KXHIGHAUS,80.60372233390808,1.13519,0.33906357403799453,0.99,-0.6509364259620054,1.0,NO,1.0000000000000009,0.6509364259620054,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-02-13,KXHIGHAUS,KXHIGHAUS-26FEB13,KXHIGHAUS-26FEB13-B82.5,between,82.5,82.0,83.0,0.99,0.0,1.0,0.0,1.0,41371.0,0.0,yes,1.0,82.0,finalized,KXHIGHAUS,81.14865503311158,1.2352498,0.17837821094570805,0.99,-0.8116217890542919,1.0,NO,1.0000000000000009,0.8116217890542919,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-02-13,KXHIGHAUS,KXHIGHAUS-26FEB13,KXHIGHAUS-26FEB13-B80.5,between,80.5,80.0,81.0,0.01,0.0,1.0,0.0,1.0,50533.0,0.0,no,0.0,82.0,finalized,KXHIGHAUS,81.14865503311158,1.2352498,0.27589307101039856,0.01,0.26589307101039855,0.0,YES,1.0,0.26589307101039855,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-02-14,KXHIGHAUS,KXHIGHAUS-26FEB14,KXHIGHAUS-26FEB14-T72,less,72.0,,72.0,0.01,0.0,1.0,0.0,1.0,31635.0,0.0,no,0.0,75.0,finalized,KXHIGHAUS,72.02282333374023,1.59534,0.49429282651367445,0.01,0.48429282651367445,0.0,YES,1.0,0.48429282651367445,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-02-14,KXHIGHAUS,KXHIGHAUS-26FEB14,KXHIGHAUS-26FEB14-B74.5,between,74.5,74.0,75.0,0.99,0.0,1.0,0.0,1.0,43180.0,0.0,yes,1.0,75.0,finalized,KXHIGHAUS,72.02282333374023,1.59534,0.07660013160869017,0.99,-0.9133998683913098,1.0,NO,1.0000000000000009,0.9133998683913098,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-02-14,KXHIGHAUS,KXHIGHAUS-26FEB14,KXHIGHAUS-26FEB14-B72.5,between,72.5,72.0,73.0,0.01,0.0,1.0,0.0,1.0,36777.0,0.0,no,0.0,75.0,finalized,KXHIGHAUS,72.02282333374023,1.59534,0.23561008157515573,0.01,0.22561008157515572,0.0,YES,1.0,0.22561008157515572,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-02-15,KXHIGHAUS,KXHIGHAUS-26FEB15,KXHIGHAUS-26FEB15-B75.5,between,75.5,75.0,76.0,0.01,0.0,1.0,0.0,1.0,32694.0,0.0,no,0.0,74.0,finalized,KXHIGHAUS,73.82090156873066,1.2687854,0.13341667516538946,0.01,0.12341667516538947,0.0,YES,1.0,0.12341667516538947,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-02-15,KXHIGHAUS,KXHIGHAUS-26FEB15,KXHIGHAUS-26FEB15-B73.5,between,73.5,73.0,74.0,0.99,0.0,1.0,0.0,1.0,29673.0,0.0,yes,1.0,74.0,finalized,KXHIGHAUS,73.82090156873066,1.2687854,0.29731057309964826,0.99,-0.6926894269003517,1.0,NO,1.0000000000000009,0.6926894269003517,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
