date,series_ticker,event_ticker,market_ticker,strike_type,threshold,floor_strike,cap_strike,last_price,yes_bid,yes_ask,no_bid,no_ask,volume,open_interest,result,settlement_value,expiration_value,status,ticker,mu,sigma,model_prob,market_prob,edge,settlement,direction,entry_price,entry_edge,exit_type,exit_price,fee_per_contract,pnl_per_contract_gross,pnl_per_contract,fee_dollars,pnl_dollars
2025-04-17,KXHIGHAUS,KXHIGHAUS-25APR17,KXHIGHAUS-25APR17-T88,less,88.0,,88.0,0.01,0.0,0.01,0.99,1.0,40368.0,0.0,no,0.0,89.0,finalized,KXHIGHAUS,86.9523856639862,1.0847027,0.8329298126750497,0.01,0.8229298126750497,0.0,YES,1.0,0.8229298126750497,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2025-04-17,KXHIGHAUS,KXHIGHAUS-25APR17,KXHIGHAUS-25APR17-B88.5,between,88.5,88.0,89.0,0.99,0.99,1.0,0.0,0.01,17509.0,0.0,yes,1.0,89.0,finalized,KXHIGHAUS,86.9523856639862,1.0847027,0.13753836890245708,0.99,-0.8524616310975429,1.0,NO,1.0000000000000009,0.8524616310975429,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2025-04-18,KXHIGHAUS,KXHIGHAUS-25APR18,KXHIGHAUS-25APR18-B92.5,between,92.5,92.0,93.0,0.01,0.0,0.01,0.99,1.0,13748.0,0.0,no,0.0,91.0,finalized,KXHIGHAUS,90.97594365278879,0.91269696,0.1176399747729776,0.01,0.10763997477297761,0.0,YES,1.0,0.10763997477297761,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2025-04-18,KXHIGHAUS,KXHIGHAUS-25APR18,KXHIGHAUS-25APR18-B90.5,between,90.5,90.0,91.0,0.99,0.99,1.0,0.0,0.01,22868.0,0.0,yes,1.0,91.0,finalized,KXHIGHAUS,90.97594365278879,0.91269696,0.3680458303511479,0.99,-0.6219541696488521,1.0,NO,1.0000000000000009,0.6219541696488521,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2025-04-19,KXHIGHAUS,KXHIGHAUS-25APR19,KXHIGHAUS-25APR19-T83,less,83.0,,83.0,0.01,0.0,0.01,0.99,1.0,11064.0,0.0,no,0.0,85.0,finalized,KXHIGHAUS,84.15692358016967,1.5072073,0.2213641510634597,0.01,0.21136415106345968,0.0,YES,1.0,0.21136415106345968,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2025-04-19,KXHIGHAUS,KXHIGHAUS-25APR19,KXHIGHAUS-25APR19-B85.5,between,85.5,85.0,86.0,0.99,0.99,1.0,0.0,0.01,14751.0,0.0,yes,1.0,85.0,finalized,KXHIGHAUS,84.15692358016967,1.5072073,0.17726222325170848,0.99,-0.8127377767482915,1.0,NO,1.0000000000000009,0.8127377767482915,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2025-04-19,KXHIGHAUS,KXHIGHAUS-25APR19,KXHIGHAUS-25APR19-B83.5,between,83.5,83.0,84.0,0.01,0.0,0.01,0.99,1.0,26302.0,0.0,no,0.0,85.0,finalized,KXHIGHAUS,84.15692358016967,1.5072073,0.23717470966325688,0.01,0.22717470966325687,0.0,YES,1.0,0.22717470966325687,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2025-04-21,KXHIGHAUS,KXHIGHAUS-25APR21,KXHIGHAUS-25APR21-B88.5,between,88.5,88.0,89.0,0.99,0.99,1.0,0.0,0.01,11906.0,0.0,yes,1.0,89.0,finalized,KXHIGHAUS,87.53294242223103,0.9646209,0.2499793961019836,0.99,-0.7400206038980164,1.0,NO,1.0000000000000009,0.7400206038980164,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2025-04-21,KXHIGHAUS,KXHIGHAUS-25APR21,KXHIGHAUS-25APR21-B86.5,between,86.5,86.0,87.0,0.01,0.0,0.01,0.99,1.0,14487.0,0.0,no,0.0,89.0,finalized,KXHIGHAUS,87.53294242223103,0.9646209,0.2342951923118304,0.01,0.2242951923118304,0.0,YES,1.0,0.2242951923118304,stop_loss,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2025-04-22,KXHIGHAUS,KXHIGHAUS-25APR22,KXHIGHAUS-25APR22-B87.5,between,87.5,87.0,88.0,0.99,0.99,1.0,0.0,0.01,14936.0,0.0,yes,1.0,88.0,finalized,KXHIGHAUS,87.33328059116998,1.0451181,0.36333870755900244,0.99,-0.6266612924409976,1.0,NO,1.0000000000000009,0.6266612924409976,stop_loss,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
