date,series_ticker,event_ticker,market_ticker,strike_type,threshold,floor_strike,cap_strike,last_price,yes_bid,yes_ask,no_bid,no_ask,volume,open_interest,result,settlement_value,expiration_value,status,ticker,mu,sigma,model_prob,market_prob,edge,settlement,direction,entry_price,settle_value,fee_per_contract,pnl_per_contract_gross,pnl_per_contract,fee_dollars,pnl_dollars
2026-02-11,KXHIGHAUS,KXHIGHAUS-26FEB11,KXHIGHAUS-26FEB11-B76.5,between,76.5,76.0,77.0,0.99,0.99,1.0,0.0,0.01,40366.0,0.0,yes,1.0,76.0,finalized,KXHIGHAUS,75.25951979955038,1.134544,0.19448017046791588,0.99,-0.7955198295320841,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-02-11,KXHIGHAUS,KXHIGHAUS-26FEB11,KXHIGHAUS-26FEB11-B74.5,between,74.5,74.0,75.0,0.01,0.0,0.01,0.99,1.0,85885.0,0.0,no,0.0,76.0,finalized,KXHIGHAUS,75.25951979955038,1.134544,0.27606795916133836,0.01,0.26606795916133835,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-02-12,KXHIGHAUS,KXHIGHAUS-26FEB12,KXHIGHAUS-26FEB12-B80.5,between,80.5,80.0,81.0,0.99,0.0,1.0,0.0,1.0,49790.0,0.0,yes,1.0,81.0,finalized,KXHIGHAUS,79.73275864124298,1.1868019,0.2681102489585494,0.99,-0.7218897510414506,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-02-12,KXHIGHAUS,KXHIGHAUS-26FEB12,KXHIGHAUS-26FEB12-B78.5,between,78.5,78.0,79.0,0.01,0.0,1.0,0.0,1.0,49795.0,0.0,no,0.0,81.0,finalized,KXHIGHAUS,79.73275864124298,1.1868019,0.19633610850905858,0.01,0.18633610850905857,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-02-13,KXHIGHAUS,KXHIGHAUS-26FEB13,KXHIGHAUS-26FEB13-B82.5,between,82.5,82.0,83.0,0.99,0.0,1.0,0.0,1.0,41371.0,0.0,yes,1.0,82.0,finalized,KXHIGHAUS,80.5078084230423,1.1209158,0.07846142431071867,0.99,-0.9115385756892813,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-02-13,KXHIGHAUS,KXHIGHAUS-26FEB13,KXHIGHAUS-26FEB13-B80.5,between,80.5,80.0,81.0,0.01,0.0,1.0,0.0,1.0,50533.0,0.0,no,0.0,82.0,finalized,KXHIGHAUS,80.5078084230423,1.1209158,0.3444410549718553,0.01,0.3344410549718553,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-02-14,KXHIGHAUS,KXHIGHAUS-26FEB14,KXHIGHAUS-26FEB14-T72,less,72.0,,72.0,0.01,0.0,1.0,0.0,1.0,31635.0,0.0,no,0.0,75.0,finalized,KXHIGHAUS,72.0221161544323,1.7662058,0.4950046372971892,0.01,0.4850046372971892,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-02-14,KXHIGHAUS,KXHIGHAUS-26FEB14,KXHIGHAUS-26FEB14-B74.5,between,74.5,74.0,75.0,0.99,0.0,1.0,0.0,1.0,43180.0,0.0,yes,1.0,75.0,finalized,KXHIGHAUS,72.0221161544323,1.7662058,0.08549447011367173,0.99,-0.9045055298863283,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-02-14,KXHIGHAUS,KXHIGHAUS-26FEB14,KXHIGHAUS-26FEB14-B72.5,between,72.5,72.0,73.0,0.01,0.0,1.0,0.0,1.0,36777.0,0.0,no,0.0,75.0,finalized,KXHIGHAUS,72.0221161544323,1.7662058,0.21509081546894332,0.01,0.2050908154689433,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-02-15,KXHIGHAUS,KXHIGHAUS-26FEB15,KXHIGHAUS-26FEB15-B75.5,between,75.5,75.0,76.0,0.01,0.0,1.0,0.0,1.0,32694.0,0.0,no,0.0,74.0,finalized,KXHIGHAUS,73.867236550649,1.0724845,0.12206567563462234,0.01,0.11206567563462234,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
