date,nn_forecast,nwp_forecast,actual,nn_sigma,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus,month,nn_load_error_mw,nwp_load_error_mw,fcst_gfs_global_load_error_mw,fcst_ecmwf_ifs025_load_error_mw,fcst_icon_seamless_load_error_mw,fcst_gem_seamless_load_error_mw,fcst_jma_seamless_load_error_mw,fcst_ncep_hrrr_conus_load_error_mw,da_rt_spread,dam_price_avg,rtm_price_avg,nn_cost,nwp_cost,daily_savings,cumulative_savings,fcst_gfs_global_cost,fcst_ecmwf_ifs025_cost,fcst_icon_seamless_cost,fcst_gem_seamless_cost,fcst_jma_seamless_cost,fcst_ncep_hrrr_conus_cost
2025-04-17,85.84677859107653,85.42666666666668,86.8,0.7040329132263621,86.655,85.615,86.285,86.52,82.89500000000001,84.59,4,-476.61070446173426,-686.6666666666604,-72.49999999999801,-592.5000000000011,-257.5000000000003,-140.00000000000057,-1952.4999999999934,-1104.9999999999968,18.840312499999996,44.5575,25.7171875,71835.95690323373,103496.1166666657,31660.159763431962,31660.159763431962,10927.381249999698,89303.08125000015,38811.04375000003,21101.15000000008,294285.6812499989,166548.3624999995
2025-04-18,88.41997476696969,87.59249999999999,89.0,0.6769259255299963,88.685,87.88499999999999,88.14,89.25,84.56,87.035,4,-290.0126165151562,-703.7500000000066,-157.49999999999886,-557.5000000000045,-429.9999999999997,125.0,-2219.999999999999,-982.5000000000017,11.578125,44.03875,32.460625,26862.418604716342,65184.84375000061,38322.42514528427,69982.58490871624,14588.437499999894,51638.43750000042,39828.74999999997,11578.125,205627.4999999999,91004.06250000016
2025-04-19,81.62774190664291,81.6225,82.15,0.8237246011051297,83.115,80.215,81.855,83.93,80.05,80.57,4,-261.12904667854764,-263.7500000000017,482.4999999999946,-967.5000000000011,-147.50000000000085,890.0000000000006,-1050.0000000000043,-790.0000000000063,9.5209375,28.66,19.1390625,19889.54666288828,20089.17812500013,199.63146211185085,70182.21637082809,36750.81874999959,73692.0562500001,11234.706250000065,67789.07500000004,79975.87500000033,60172.32500000048
2025-04-20,83.1928931115071,81.67166666666667,83.39999999999999,0.7416956884263722,85.175,80.76,82.13,80.585,78.85499999999999,82.525,4,-103.55344424644386,-864.1666666666623,887.5000000000028,-1319.9999999999932,-634.999999999998,-1407.4999999999989,-2272.500000000001,-437.4999999999929,10.716562500000002,43.63375,32.9171875,8877.89565885825,74087.16874999963,65209.27309114138,135391.48946196947,76087.59375000026,113166.89999999944,54440.13749999984,120668.49374999992,194827.10625000013,37507.968749999396
2025-04-21,83.77235104958216,82.01166666666666,85.15,0.6077804922291079,84.645,80.36,83.01999999999998,81.50999999999999,79.02499999999999,83.50999999999999,4,-688.8244752089249,-1569.1666666666747,-252.50000000000483,-2395.000000000003,-1065.0000000000118,-1820.0000000000073,-3062.5000000000073,-820.0000000000074,4.121562500000003,35.21625,31.0946875,22712.265008826293,51739.34791666697,29027.08290784068,164418.57236981014,8325.556250000165,78969.13750000017,35115.712500000416,60009.95000000029,100978.28125000032,27037.450000000263
2025-04-22,86.21661334693431,84.5225,87.15,0.6268810993784016,86.265,83.19,84.91499999999999,85.435,81.16,86.16999999999999,4,-466.6933265328481,-1313.750000000006,-442.50000000000256,-1980.000000000004,-1117.5000000000068,-857.5000000000017,-2995.0000000000045,-490.0000000000091,-13.409687500000004,41.17375,54.5834375,50065.69333712763,140935.8156250007,90870.12228787306,255288.6946576832,47470.29375000029,212409.4500000005,119882.60625000077,91990.4562500002,321296.11250000057,52565.97500000099
2025-04-23,80.55461503744125,80.31750000000001,80.35000000000001,0.7562286655711228,83.55,78.275,79.47,82.17999999999999,78.46,79.97,4,102.30751872062172,-16.24999999999943,1599.9999999999943,-1037.5000000000014,-440.00000000000483,914.999999999992,-945.0000000000074,-190.00000000000483,6.123437499999998,33.635,27.5115625,5011.789573326455,796.0468749999719,-4215.742698326483,251072.95195935672,78379.9999999997,50824.53125000005,21554.50000000023,44823.56249999959,46293.18750000035,9307.625000000233
2025-04-24,80.70828523953756,80.24083333333333,80.89999999999999,0.7498520224342053,81.26,78.17999999999999,80.88,82.01,78.83,80.285,4,-95.85738023121593,-329.583333333332,180.00000000000682,-1359.9999999999995,-9.99999999999801,555.0000000000068,-1034.9999999999966,-307.49999999999744,9.657812499999997,40.786249999999995,31.1284375,7406.180840114318,25464.432291666555,18058.251451552238,269131.203410909,13907.250000000522,105076.99999999993,772.6249999998461,42880.68750000051,79966.68749999971,23758.218749999796
2025-04-25,83.9285805084308,82.87583333333335,85.05,0.6874716289041563,84.59,82.02,83.155,83.4,81.19,82.9,4,-560.7097457845996,-1087.0833333333253,-229.99999999999687,-1515.0000000000005,-947.499999999998,-824.9999999999957,-1929.9999999999998,-1074.9999999999957,18.5625,46.22,27.6575,83265.39724901304,161431.8749999988,78166.47775098577,347297.68116189475,34154.999999999534,224977.50000000006,140703.7499999997,122512.49999999936,286604.99999999994,159637.49999999936
2025-04-26,85.16452613393464,83.56166666666665,84.89999999999999,0.7190698312189217,85.47,82.4,84.035,84.95499999999998,80.03,84.47999999999999,4,132.26306696732593,-669.1666666666691,285.0000000000037,-1249.999999999993,-432.49999999999744,27.499999999996305,-2434.999999999995,-210.00000000000085,-5.029999999999994,34.88,39.91,5322.265814765189,26927.266666666736,21605.000851901546,368902.6820137963,11468.400000000134,50299.99999999966,17403.799999999876,1106.59999999985,97984.39999999969,8450.400000000025
